game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
A Bird Story,> Intel Pentium III 800 MHz,1024x768 High Color +,2 GB RAM,Version 9.0c,"XP, Vista, 7, 8",200 MB available space,,,,,,,,
A Blind Legend,Dual Core CPU,generally everything made since 2004 should work.,1 GB RAM,Version 9.0,Windows XP SP2+,400 MB available space,,,,,,,,
A Boy and His Blob,"AMD Athlon 64 X2 Dual Core Processor 4600+, 2.4GHz / Intel Pentium D 805 2.66GHz or higher",NVIDIA GeForce 9600 GT 512 MB / ATI Radeon HD 4650 1GB or higher | Shader Model 3+,1 GB RAM,,Windows 7-32Bit or Windows 8-32Bit,3 GB available space,,AMD Athlon 7850 Dual Core Processor 2.8GHz / Intel Core 2 Duo E7500 2.93 GHz,NVIDIA GeForce 9600 GT 1GB / ATI Radeon HD 4650 1GB | Shader Model 3+,2 GB RAM,,Windows 7-64Bit or Windows 8-64Bit,3 GB available space,
A City Sleeps,Intel Core2 Duo 3.00GHz,ATI Radeon 2400,2 GB RAM,9.0c,Windows 7 / 8,,,,,,,,,
A Farewell to Dragons,1.5 GHz,nVidia GeForce FX 5700 or ATI Radeon 9600 with 128 MB of memory,512 MB,,Windows 2000/XP,3 GB of free hard drive space,,2.4 GHz,nVidia GeForce 6800 or ATI Radeon 9800,1 GB,,Windows 2000/XP,3 GB of free hard drive space,
A Fistful of Gun,Dual Core 1.8 Ghz,(Any),2 GB RAM,Version 9.0,Windows XP or later,600 MB available space,,,,,,,,
A Game of Thrones: Genesis,AMD/INTEL DUAL-CORE 2.2 GHZ,256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE. ATI RADEON X1600 XT/INTEL HD/NVIDIA GEFORCE 6600 GT OR HIGHER,1024 MB (XP) / 2048 MB (VISTA/7),DirectX® 9,WINDOWS XP SP2/VISTA SP1/WINDOWS 7,10 GB,INTERNET CONNECTION REQUIRED FOR ONLINE GAMING AND GAME ACTIVATION,,,,,,,
A Game of Thrones: The Board Game - Digital Edition,Intel Pentium D or AMD Athlon 64 X2,Graphics card with DX11 or OpenGL 3.x capabilities,2 GB RAM,Version 11,"Windows 7, Windows 8.1, Windows 10 (64bit version only)",1 GB available space,Broadband Internet connection,Intel Core 2 Duo E6600 or AMD Athlon 64 X2 5000+ or better,Graphics card with DX11 or OpenGL 3.x capabilities,4 GB RAM,Version 11,Windows 10 (64bit version only),1 GB available space,Broadband Internet connection
A Gummy's Life,Intel® Core™ i3,NVIDIA® GeForce GTX 740,2 GB RAM,Version 11,Windows 7 (64-bit),1 GB available space,,Intel® Core™ i5-6500 3.2 Ghz,NVIDIA® GeForce GTX 960,4 GB RAM,Version 11,Windows 10 (64-bit),1 GB available space,
A Hat in Time,3.0 GHz processor,(Any),4 GB RAM,Version 9.0c,Windows XP SP3 / Windows Vista / Windows 7 / Windows 8 / Windows 10 64-bit only,8 GB available space,,3.5 GHz processor,(Any),8 GB RAM,Version 9.0c,Windows 7 / Windows 8 / Windows 10 64-bit only,8 GB available space,
A Hole New World,"1,60 Ghz Intel Atom",OpenGL 3.0 compliant video card,1 GB RAM,,Windows XP SP3 (or later),950 MB available space,,,,,,,,
A House of Many Doors,(Any),(Any),4 GB RAM,Version 9.0,"Windows XP, Vista, 7, 8, 10",400 MB available space,,2GHz+,512MB,4 GB RAM,Version 9.0,"Windows XP, Vista, 7, 10",400 MB available space,
